Record_ID,Tortoise_ID,Tortoise_No,Sample_Date,ELISA_Date,Mag_A405,Mag_Titer,Mag_Result,Mtest_A405,Mtest_Titer,Mtest_Result,Comments,Mag_UseResult,Mtest_UseResult,DataProofed
1473,BS588,588,5/20/2013,6/13/2013,0.008,<32,Negative,0.025,<32,Negative,,1,1,1
1474,BS611,611,5/20/2013,6/13/2013,0.0185,<32,Negative,0.0375,<32,Negative,,1,1,1
1475,BS617,617,5/20/2013,6/13/2013,0.0015,<32,Negative,0.025,<32,Negative,,1,1,1
1476,BS638,638,5/20/2013,6/13/2013,0.002,<32,Negative,0.0225,<32,Negative,,1,1,1
1477,BS644,644,5/20/2013,6/13/2013,0.0095,<32,Negative,0.0165,<32,Negative,,1,1,1
1478,BS650,650,5/20/2013,6/13/2013,0.02,<32,Negative,0.021,<32,Negative,,1,1,1
1479,BS653,653,5/20/2013,6/13/2013,-0.0005,<32,Negative,0.0295,<32,Negative,,1,1,1
1480,BS04,4,5/22/2013,6/13/2013,-0.0145,<32,Negative,0.004,<32,Negative,,1,1,1
1481,BS07,7,5/22/2013,6/13/2013,0.0355,<32,Negative,0.0325,<32,Negative,,1,1,1
1482,BS22,22,5/22/2013,6/13/2013,0.006,<32,Negative,0.0135,<32,Negative,,1,1,1
1483,BS27,27,5/22/2013,6/13/2013,-0.001,<32,Negative,0.021,<32,Negative,,1,1,1
1485,BS100,100,5/22/2013,6/13/2013,0.005,<32,Negative,0.023,<32,Negative,,1,1,1
1487,BS306,306,5/22/2013,6/13/2013,0.03,<32,Negative,0.0465,<32,Negative,,1,1,1
1488,BS327,327,5/22/2013,6/13/2013,0.0035,<32,Negative,0.0155,<32,Negative,,1,1,1
1489,BS501,501,5/22/2013,6/13/2013,-0.0025,<32,Negative,0.0155,<32,Negative,,1,1,1
1490,BS503,503,5/22/2013,6/13/2013,0.0265,<32,Negative,0.0245,<32,Negative,,1,1,1
1491,BS512,512,5/22/2013,6/13/2013,0.0145,<32,Negative,0.027,<32,Negative,,1,1,1
1492,BS513,513,5/22/2013,6/13/2013,0.087,32,Suspect,0.0535,<32,Negative,,1,1,1
1493,BS518,518,5/22/2013,6/13/2013,0.017,<32,Negative,0.035,<32,Negative,,1,1,1
1494,BS524,524,5/22/2013,6/13/2013,0.0125,<32,Negative,0.0255,<32,Negative,,1,1,1
1495,BS529,529,5/22/2013,6/13/2013,0.0225,<32,Negative,0.0315,<32,Negative,,1,1,1
1496,BS533,533,5/22/2013,6/13/2013,0.0425,<32,Negative,0.0495,<32,Negative,,1,1,1
1497,BS540,540,5/22/2013,6/13/2013,0.0105,<32,Negative,0.0055,<32,Negative,,1,1,1
1498,BS548,548,5/22/2013,6/13/2013,0.0085,<32,Negative,0.025,<32,Negative,,1,1,1
1499,BS551,551,5/22/2013,6/13/2013,0.027,<32,Negative,0.046,<32,Negative,,1,1,1
1500,BS560,560,5/22/2013,6/13/2013,0.018,<32,Negative,0.0295,<32,Negative,,1,1,1
1501,BS571,571,5/22/2013,6/13/2013,0.021,<32,Negative,0.0085,<32,Negative,,1,1,1
1502,BS577,577,5/22/2013,6/13/2013,-0.0005,<32,Negative,0.03,<32,Negative,,1,1,1
1503,BS579,579,5/22/2013,6/13/2013,0.0315,<32,Negative,0.0355,<32,Negative,,1,1,1
1504,BS592,592,5/22/2013,6/13/2013,0.0285,<32,Negative,0.0205,<32,Negative,,1,1,1
1505,BS597,597,5/22/2013,6/13/2013,0.02,<32,Negative,0.02,<32,Negative,,1,1,1
1506,BS600,600,5/22/2013,6/13/2013,0.053,32,Suspect,0.02,<32,Negative,,1,1,1
1507,BS602,602,5/22/2013,6/13/2013,0.0175,<32,Negative,0.042,<32,Negative,,1,1,1
1508,BS605,605,5/22/2013,6/13/2013,0.0135,<32,Negative,0.037,<32,Negative,,1,1,1
1509,BS614,614,5/22/2013,6/13/2013,0.0465,<32,Negative,0.033,<32,Negative,,1,1,1
1510,BS618,618,5/22/2013,6/13/2013,0.0305,<32,Negative,0.012,<32,Negative,,1,1,1
1511,BS619,619,5/22/2013,6/13/2013,0.014,<32,Negative,0.0205,<32,Negative,,1,1,1
1512,BS629,629,5/22/2013,6/13/2013,0.03,<32,Negative,0.0315,<32,Negative,,1,1,1
1513,BS632,632,5/22/2013,6/13/2013,0.0225,<32,Negative,0.0135,<32,Negative,,1,1,1
1514,BS633,633,5/22/2013,6/13/2013,0.0035,<32,Negative,0.034,<32,Negative,,1,1,1
1515,BS647,647,5/22/2013,6/13/2013,0.024,<32,Negative,0.0325,<32,Negative,,1,1,1
1516,BS649,649,5/22/2013,6/13/2013,0.0165,<32,Negative,0.0325,<32,Negative,,1,1,1
1517,BS654,654,5/22/2013,6/13/2013,0.0365,<32,Negative,0.055,<32,Negative,,1,1,1
1518,BS12,12,5/23/2013,6/13/2013,0.0035,<32,Negative,0.027,<32,Negative,,1,1,1
1519,BS15,15,5/23/2013,6/13/2013,0.04,<32,Negative,0.021,<32,Negative,,1,1,1
1522,BS179,179,5/23/2013,6/13/2013,0.006,<32,Negative,0.022,<32,Negative,,1,1,1
1527,BS314,314,5/23/2013,6/13/2013,0.005,<32,Negative,0.021,<32,Negative,,1,1,1
1528,BS509,509,5/23/2013,6/13/2013,0.012,<32,Negative,0.02,<32,Negative,,1,1,1
1529,BS511,511,5/23/2013,6/13/2013,0.0325,<32,Negative,0.039,<32,Negative,,1,1,1
1530,BS514,514,5/23/2013,6/13/2013,-0.0105,<32,Negative,0.0115,<32,Negative,,1,1,1
